wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.17927,    0.17929,   2.8116e-10
   0.17929,    0.17930,   1.5561e-10
   0.17930,    0.17932,   1.1542e-10
   0.17932,    0.17933,   2.0843e-10
   0.17933,    0.17935,   2.5263e-10
   0.17935,    0.17936,   1.6554e-10
   0.17936,    0.17937,   1.4099e-10
   0.17937,    0.17939,   1.2570e-10
   0.17939,    0.17940,   1.3745e-10
   0.17940,    0.17942,   1.2185e-10
   0.17942,    0.17943,   1.0676e-10
   0.17943,    0.17945,   1.0520e-10
   0.17945,    0.17946,   1.1831e-10
   0.17946,    0.17948,   1.1748e-10
   0.17948,    0.17949,   1.2781e-10
   0.17949,    0.17950,   2.5378e-10
   0.17950,    0.17952,   2.7193e-10
   0.17952,    0.17953,   2.1147e-10
   0.17953,    0.17955,   8.2375e-10
   0.17955,    0.17956,   1.2917e-09
   0.17956,    0.17958,   4.6404e-10
   0.17958,    0.17959,   1.0988e-10
   0.17959,    0.17961,   8.9394e-11
   0.17961,    0.17962,   8.9608e-11
   0.17962,    0.17963,   9.6706e-11
   0.17963,    0.17965,   1.1759e-10
   0.17965,    0.17966,   1.3190e-10
   0.17966,    0.17968,   1.2952e-10
   0.17968,    0.17969,   1.0523e-10
   0.17969,    0.17971,   1.0384e-10
   0.17971,    0.17972,   1.2824e-10
   0.17972,    0.17974,   1.4059e-10
   0.17974,    0.17975,   1.2151e-10
   0.17975,    0.17976,   1.0577e-10
   0.17976,    0.17978,   1.4055e-10
   0.17978,    0.17979,   2.1075e-10
   0.17979,    0.17981,   1.7648e-10
   0.17981,    0.17982,   1.5357e-10
   0.17982,    0.17984,   1.7425e-10
   0.17984,    0.17985,   1.5261e-10
   0.17985,    0.17987,   1.0751e-10
   0.17987,    0.17988,   9.0033e-11
   0.17988,    0.17989,   8.8436e-11
   0.17989,    0.17991,   8.8428e-11
   0.17991,    0.17992,   8.8499e-11
   0.17992,    0.17994,   8.8554e-11
   0.17994,    0.17995,   8.8517e-11
   0.17995,    0.17997,   8.9736e-11
   0.17997,    0.17998,   1.1994e-10
   0.17998,    0.18000,   2.5000e-10
   0.18000,    0.18001,   2.7404e-10
