wlo,whi,flux
   5.03110,    5.03151,   1.0037e-11
   5.03151,    5.03191,   1.0038e-11
   5.03191,    5.03232,   1.0038e-11
   5.03232,    5.03272,   1.0039e-11
   5.03272,    5.03313,   1.0039e-11
   5.03313,    5.03354,   1.0039e-11
   5.03354,    5.03394,   1.0040e-11
   5.03394,    5.03435,   1.0041e-11
   5.03435,    5.03475,   1.0041e-11
   5.03475,    5.03516,   1.0042e-11
   5.03516,    5.03556,   1.0043e-11
   5.03556,    5.03597,   1.0043e-11
   5.03597,    5.03637,   1.0044e-11
   5.03637,    5.03678,   1.0045e-11
   5.03678,    5.03718,   1.0045e-11
   5.03718,    5.03759,   1.0046e-11
   5.03759,    5.03800,   1.0050e-11
   5.03800,    5.03840,   1.0063e-11
   5.03840,    5.03881,   1.0079e-11
   5.03881,    5.03921,   1.0075e-11
   5.03921,    5.03962,   1.0061e-11
   5.03962,    5.04003,   1.0054e-11
   5.04003,    5.04043,   1.0054e-11
   5.04043,    5.04084,   1.0056e-11
   5.04084,    5.04124,   1.0057e-11
   5.04124,    5.04165,   1.0059e-11
   5.04165,    5.04206,   1.0061e-11
   5.04206,    5.04246,   1.0061e-11
   5.04246,    5.04287,   1.0060e-11
   5.04287,    5.04327,   1.0062e-11
   5.04327,    5.04368,   1.0066e-11
   5.04368,    5.04409,   1.0065e-11
   5.04409,    5.04449,   1.0059e-11
   5.04449,    5.04490,   1.0055e-11
   5.04490,    5.04531,   1.0055e-11
   5.04531,    5.04571,   1.0056e-11
   5.04571,    5.04612,   1.0056e-11
   5.04612,    5.04652,   1.0058e-11
   5.04652,    5.04693,   1.0059e-11
   5.04693,    5.04734,   1.0061e-11
   5.04734,    5.04774,   1.0063e-11
   5.04774,    5.04815,   1.0064e-11
   5.04815,    5.04856,   1.0065e-11
   5.04856,    5.04896,   1.0067e-11
   5.04896,    5.04937,   1.0073e-11
   5.04937,    5.04978,   1.0075e-11
   5.04978,    5.05018,   1.0067e-11
   5.05018,    5.05059,   1.0059e-11
   5.05059,    5.05100,   1.0058e-11
   5.05100,    5.05140,   1.0058e-11
   5.05140,    5.05181,   1.0058e-11
   5.05181,    5.05222,   1.0059e-11
   5.05222,    5.05262,   1.0059e-11
   5.05262,    5.05303,   1.0059e-11
   5.05303,    5.05344,   1.0060e-11
   5.05344,    5.05385,   1.0060e-11
   5.05385,    5.05425,   1.0061e-11
   5.05425,    5.05466,   1.0061e-11
   5.05466,    5.05507,   1.0062e-11
   5.05507,    5.05547,   1.0063e-11
   5.05547,    5.05588,   1.0064e-11
   5.05588,    5.05629,   1.0065e-11
   5.05629,    5.05670,   1.0066e-11
   5.05670,    5.05710,   1.0066e-11
   5.05710,    5.05751,   1.0066e-11
   5.05751,    5.05792,   1.0065e-11
   5.05792,    5.05832,   1.0065e-11
   5.05832,    5.05873,   1.0065e-11
   5.05873,    5.05914,   1.0067e-11
   5.05914,    5.05955,   1.0069e-11
   5.05955,    5.05995,   1.0071e-11
   5.05995,    5.06036,   1.0073e-11
   5.06036,    5.06077,   1.0075e-11
   5.06077,    5.06118,   1.0075e-11
   5.06118,    5.06158,   1.0074e-11
   5.06158,    5.06199,   1.0074e-11
   5.06199,    5.06240,   1.0073e-11
   5.06240,    5.06281,   1.0073e-11
   5.06281,    5.06322,   1.0073e-11
   5.06322,    5.06362,   1.0074e-11
   5.06362,    5.06403,   1.0075e-11
   5.06403,    5.06444,   1.0076e-11
   5.06444,    5.06485,   1.0077e-11
   5.06485,    5.06525,   1.0079e-11
   5.06525,    5.06566,   1.0081e-11
   5.06566,    5.06607,   1.0082e-11
   5.06607,    5.06648,   1.0084e-11
   5.06648,    5.06689,   1.0085e-11
   5.06689,    5.06730,   1.0084e-11
   5.06730,    5.06770,   1.0083e-11
   5.06770,    5.06811,   1.0081e-11
   5.06811,    5.06852,   1.0079e-11
   5.06852,    5.06893,   1.0078e-11
   5.06893,    5.06934,   1.0077e-11
   5.06934,    5.06974,   1.0077e-11
   5.06974,    5.07015,   1.0078e-11
   5.07015,    5.07056,   1.0078e-11
   5.07056,    5.07097,   1.0078e-11
   5.07097,    5.07138,   1.0078e-11
   5.07138,    5.07179,   1.0079e-11
   5.07179,    5.07219,   1.0079e-11
   5.07219,    5.07260,   1.0079e-11
   5.07260,    5.07301,   1.0080e-11
   5.07301,    5.07342,   1.0080e-11
   5.07342,    5.07383,   1.0081e-11
   5.07383,    5.07424,   1.0081e-11
   5.07424,    5.07465,   1.0081e-11
   5.07465,    5.07506,   1.0082e-11
   5.07506,    5.07546,   1.0082e-11
   5.07546,    5.07587,   1.0083e-11
   5.07587,    5.07628,   1.0083e-11
   5.07628,    5.07669,   1.0084e-11
   5.07669,    5.07710,   1.0084e-11
   5.07710,    5.07751,   1.0084e-11
   5.07751,    5.07792,   1.0085e-11
   5.07792,    5.07833,   1.0085e-11
   5.07833,    5.07873,   1.0086e-11
   5.07873,    5.07914,   1.0086e-11
   5.07914,    5.07955,   1.0086e-11
   5.07955,    5.07996,   1.0087e-11
   5.07996,    5.08037,   1.0087e-11
   5.08037,    5.08078,   1.0088e-11
   5.08078,    5.08119,   1.0088e-11
   5.08119,    5.08160,   1.0088e-11
   5.08160,    5.08201,   1.0089e-11
   5.08201,    5.08242,   1.0089e-11
   5.08242,    5.08283,   1.0090e-11
   5.08283,    5.08324,   1.0090e-11
   5.08324,    5.08365,   1.0091e-11
   5.08365,    5.08406,   1.0091e-11
   5.08406,    5.08446,   1.0092e-11
   5.08446,    5.08487,   1.0093e-11
   5.08487,    5.08528,   1.0094e-11
   5.08528,    5.08569,   1.0095e-11
   5.08569,    5.08610,   1.0096e-11
   5.08610,    5.08651,   1.0098e-11
   5.08651,    5.08692,   1.0099e-11
   5.08692,    5.08733,   1.0100e-11
   5.08733,    5.08774,   1.0101e-11
   5.08774,    5.08815,   1.0100e-11
   5.08815,    5.08856,   1.0099e-11
   5.08856,    5.08897,   1.0099e-11
   5.08897,    5.08938,   1.0098e-11
   5.08938,    5.08979,   1.0097e-11
   5.08979,    5.09020,   1.0097e-11
   5.09020,    5.09061,   1.0098e-11
   5.09061,    5.09102,   1.0100e-11
   5.09102,    5.09143,   1.0105e-11
   5.09143,    5.09184,   1.0111e-11
   5.09184,    5.09225,   1.0111e-11
   5.09225,    5.09266,   1.0105e-11
   5.09266,    5.09307,   1.0102e-11
   5.09307,    5.09348,   1.0101e-11
   5.09348,    5.09389,   1.0101e-11
   5.09389,    5.09430,   1.0101e-11
   5.09430,    5.09471,   1.0102e-11
   5.09471,    5.09512,   1.0102e-11
   5.09512,    5.09553,   1.0102e-11
   5.09553,    5.09594,   1.0103e-11
   5.09594,    5.09635,   1.0104e-11
   5.09635,    5.09676,   1.0107e-11
   5.09676,    5.09717,   1.0110e-11
   5.09717,    5.09759,   1.0118e-11
   5.09759,    5.09800,   1.0141e-11
   5.09800,    5.09841,   1.0165e-11
   5.09841,    5.09882,   1.0154e-11
   5.09882,    5.09923,   1.0127e-11
   5.09923,    5.09964,   1.0114e-11
   5.09964,    5.10005,   1.0110e-11
   5.10005,    5.10046,   1.0111e-11
   5.10046,    5.10087,   1.0117e-11
   5.10087,    5.10128,   1.0131e-11
   5.10128,    5.10169,   1.0146e-11
   5.10169,    5.10210,   1.0167e-11
   5.10210,    5.10251,   1.0193e-11
   5.10251,    5.10293,   1.0185e-11
   5.10293,    5.10334,   1.0146e-11
   5.10334,    5.10375,   1.0121e-11
   5.10375,    5.10416,   1.0114e-11
   5.10416,    5.10457,   1.0112e-11
   5.10457,    5.10498,   1.0112e-11
   5.10498,    5.10539,   1.0112e-11
   5.10539,    5.10580,   1.0113e-11
   5.10580,    5.10621,   1.0113e-11
   5.10621,    5.10663,   1.0114e-11
   5.10663,    5.10704,   1.0114e-11
   5.10704,    5.10745,   1.0114e-11
   5.10745,    5.10786,   1.0115e-11
   5.10786,    5.10827,   1.0115e-11
   5.10827,    5.10868,   1.0116e-11
   5.10868,    5.10909,   1.0116e-11
   5.10909,    5.10951,   1.0117e-11
   5.10951,    5.10992,   1.0117e-11
   5.10992,    5.11033,   1.0117e-11
   5.11033,    5.11074,   1.0118e-11
   5.11074,    5.11115,   1.0118e-11
   5.11115,    5.11156,   1.0119e-11
   5.11156,    5.11197,   1.0119e-11
   5.11197,    5.11239,   1.0119e-11
   5.11239,    5.11280,   1.0120e-11
   5.11280,    5.11321,   1.0120e-11
   5.11321,    5.11362,   1.0121e-11
   5.11362,    5.11403,   1.0121e-11
   5.11403,    5.11445,   1.0122e-11
   5.11445,    5.11486,   1.0122e-11
   5.11486,    5.11527,   1.0122e-11
   5.11527,    5.11568,   1.0123e-11
   5.11568,    5.11609,   1.0123e-11
   5.11609,    5.11651,   1.0124e-11
   5.11651,    5.11692,   1.0124e-11
   5.11692,    5.11733,   1.0124e-11
   5.11733,    5.11774,   1.0125e-11
   5.11774,    5.11815,   1.0125e-11
   5.11815,    5.11857,   1.0126e-11
   5.11857,    5.11898,   1.0126e-11
   5.11898,    5.11939,   1.0127e-11
   5.11939,    5.11980,   1.0127e-11
   5.11980,    5.12022,   1.0127e-11
   5.12022,    5.12063,   1.0128e-11
   5.12063,    5.12104,   1.0128e-11
   5.12104,    5.12145,   1.0129e-11
   5.12145,    5.12187,   1.0129e-11
   5.12187,    5.12228,   1.0129e-11
   5.12228,    5.12269,   1.0130e-11
   5.12269,    5.12310,   1.0130e-11
   5.12310,    5.12352,   1.0131e-11
   5.12352,    5.12393,   1.0131e-11
   5.12393,    5.12434,   1.0132e-11
   5.12434,    5.12475,   1.0132e-11
   5.12475,    5.12517,   1.0132e-11
   5.12517,    5.12558,   1.0133e-11
   5.12558,    5.12599,   1.0133e-11
   5.12599,    5.12640,   1.0134e-11
   5.12640,    5.12682,   1.0134e-11
   5.12682,    5.12723,   1.0134e-11
   5.12723,    5.12764,   1.0135e-11
   5.12764,    5.12806,   1.0135e-11
   5.12806,    5.12847,   1.0136e-11
   5.12847,    5.12888,   1.0137e-11
   5.12888,    5.12930,   1.0137e-11
   5.12930,    5.12971,   1.0138e-11
   5.12971,    5.13012,   1.0138e-11
   5.13012,    5.13054,   1.0139e-11
   5.13054,    5.13095,   1.0139e-11
   5.13095,    5.13136,   1.0139e-11
   5.13136,    5.13177,   1.0139e-11
   5.13177,    5.13219,   1.0139e-11
   5.13219,    5.13260,   1.0140e-11
   5.13260,    5.13301,   1.0140e-11
   5.13301,    5.13343,   1.0141e-11
   5.13343,    5.13384,   1.0141e-11
   5.13384,    5.13426,   1.0142e-11
   5.13426,    5.13467,   1.0142e-11
   5.13467,    5.13508,   1.0142e-11
   5.13508,    5.13550,   1.0143e-11
   5.13550,    5.13591,   1.0143e-11
   5.13591,    5.13632,   1.0144e-11
   5.13632,    5.13674,   1.0144e-11
   5.13674,    5.13715,   1.0144e-11
   5.13715,    5.13756,   1.0145e-11
   5.13756,    5.13798,   1.0145e-11
   5.13798,    5.13839,   1.0146e-11
   5.13839,    5.13881,   1.0146e-11
   5.13881,    5.13922,   1.0147e-11
   5.13922,    5.13963,   1.0147e-11
   5.13963,    5.14005,   1.0147e-11
   5.14005,    5.14046,   1.0148e-11
   5.14046,    5.14088,   1.0148e-11
   5.14088,    5.14129,   1.0149e-11
   5.14129,    5.14170,   1.0150e-11
   5.14170,    5.14212,   1.0150e-11
   5.14212,    5.14253,   1.0151e-11
   5.14253,    5.14295,   1.0151e-11
   5.14295,    5.14336,   1.0151e-11
   5.14336,    5.14377,   1.0152e-11
   5.14377,    5.14419,   1.0152e-11
   5.14419,    5.14460,   1.0152e-11
   5.14460,    5.14502,   1.0152e-11
   5.14502,    5.14543,   1.0153e-11
   5.14543,    5.14585,   1.0153e-11
   5.14585,    5.14626,   1.0154e-11
   5.14626,    5.14668,   1.0154e-11
   5.14668,    5.14709,   1.0154e-11
   5.14709,    5.14750,   1.0155e-11
   5.14750,    5.14792,   1.0155e-11
   5.14792,    5.14833,   1.0156e-11
   5.14833,    5.14875,   1.0156e-11
   5.14875,    5.14916,   1.0157e-11
   5.14916,    5.14958,   1.0157e-11
   5.14958,    5.14999,   1.0157e-11
   5.14999,    5.15041,   1.0158e-11
   5.15041,    5.15082,   1.0158e-11
   5.15082,    5.15124,   1.0159e-11
   5.15124,    5.15165,   1.0159e-11
   5.15165,    5.15207,   1.0159e-11
   5.15207,    5.15248,   1.0160e-11
   5.15248,    5.15290,   1.0160e-11
   5.15290,    5.15331,   1.0161e-11
   5.15331,    5.15373,   1.0161e-11
   5.15373,    5.15414,   1.0162e-11
   5.15414,    5.15456,   1.0162e-11
   5.15456,    5.15497,   1.0162e-11
   5.15497,    5.15539,   1.0163e-11
   5.15539,    5.15580,   1.0163e-11
   5.15580,    5.15622,   1.0164e-11
   5.15622,    5.15663,   1.0165e-11
   5.15663,    5.15705,   1.0165e-11
   5.15705,    5.15746,   1.0166e-11
   5.15746,    5.15788,   1.0166e-11
   5.15788,    5.15829,   1.0167e-11
   5.15829,    5.15871,   1.0167e-11
   5.15871,    5.15913,   1.0167e-11
   5.15913,    5.15954,   1.0167e-11
   5.15954,    5.15996,   1.0167e-11
   5.15996,    5.16037,   1.0168e-11
   5.16037,    5.16079,   1.0168e-11
   5.16079,    5.16120,   1.0169e-11
   5.16120,    5.16162,   1.0169e-11
   5.16162,    5.16203,   1.0170e-11
   5.16203,    5.16245,   1.0170e-11
   5.16245,    5.16287,   1.0170e-11
   5.16287,    5.16328,   1.0171e-11
   5.16328,    5.16370,   1.0171e-11
   5.16370,    5.16411,   1.0172e-11
   5.16411,    5.16453,   1.0172e-11
   5.16453,    5.16495,   1.0172e-11
   5.16495,    5.16536,   1.0173e-11
   5.16536,    5.16578,   1.0173e-11
   5.16578,    5.16619,   1.0174e-11
   5.16619,    5.16661,   1.0174e-11
   5.16661,    5.16703,   1.0175e-11
   5.16703,    5.16744,   1.0175e-11
   5.16744,    5.16786,   1.0175e-11
   5.16786,    5.16827,   1.0176e-11
   5.16827,    5.16869,   1.0176e-11
   5.16869,    5.16911,   1.0177e-11
   5.16911,    5.16952,   1.0177e-11
   5.16952,    5.16994,   1.0177e-11
   5.16994,    5.17036,   1.0178e-11
   5.17036,    5.17077,   1.0178e-11
   5.17077,    5.17119,   1.0179e-11
   5.17119,    5.17161,   1.0179e-11
   5.17161,    5.17202,   1.0180e-11
   5.17202,    5.17244,   1.0180e-11
   5.17244,    5.17286,   1.0180e-11
   5.17286,    5.17327,   1.0181e-11
   5.17327,    5.17369,   1.0181e-11
   5.17369,    5.17411,   1.0182e-11
   5.17411,    5.17452,   1.0182e-11
   5.17452,    5.17494,   1.0182e-11
   5.17494,    5.17536,   1.0183e-11
   5.17536,    5.17577,   1.0183e-11
   5.17577,    5.17619,   1.0184e-11
   5.17619,    5.17661,   1.0184e-11
   5.17661,    5.17702,   1.0185e-11
   5.17702,    5.17744,   1.0185e-11
   5.17744,    5.17786,   1.0185e-11
   5.17786,    5.17827,   1.0186e-11
   5.17827,    5.17869,   1.0186e-11
   5.17869,    5.17911,   1.0187e-11
   5.17911,    5.17953,   1.0187e-11
   5.17953,    5.17994,   1.0188e-11
   5.17994,    5.18036,   1.0189e-11
   5.18036,    5.18078,   1.0190e-11
   5.18078,    5.18119,   1.0191e-11
   5.18119,    5.18161,   1.0191e-11
   5.18161,    5.18203,   1.0191e-11
   5.18203,    5.18245,   1.0191e-11
   5.18245,    5.18286,   1.0191e-11
   5.18286,    5.18328,   1.0191e-11
   5.18328,    5.18370,   1.0191e-11
   5.18370,    5.18412,   1.0192e-11
   5.18412,    5.18453,   1.0192e-11
   5.18453,    5.18495,   1.0193e-11
   5.18495,    5.18537,   1.0193e-11
   5.18537,    5.18579,   1.0193e-11
   5.18579,    5.18620,   1.0194e-11
   5.18620,    5.18662,   1.0194e-11
   5.18662,    5.18704,   1.0195e-11
   5.18704,    5.18746,   1.0195e-11
   5.18746,    5.18787,   1.0195e-11
   5.18787,    5.18829,   1.0196e-11
   5.18829,    5.18871,   1.0196e-11
   5.18871,    5.18913,   1.0197e-11
   5.18913,    5.18955,   1.0197e-11
   5.18955,    5.18996,   1.0198e-11
   5.18996,    5.19038,   1.0198e-11
   5.19038,    5.19080,   1.0198e-11
   5.19080,    5.19122,   1.0199e-11
   5.19122,    5.19164,   1.0199e-11
   5.19164,    5.19205,   1.0200e-11
   5.19205,    5.19247,   1.0200e-11
   5.19247,    5.19289,   1.0200e-11
   5.19289,    5.19331,   1.0201e-11
   5.19331,    5.19373,   1.0201e-11
   5.19373,    5.19415,   1.0202e-11
   5.19415,    5.19456,   1.0202e-11
   5.19456,    5.19498,   1.0203e-11
   5.19498,    5.19540,   1.0203e-11
   5.19540,    5.19582,   1.0203e-11
   5.19582,    5.19624,   1.0204e-11
   5.19624,    5.19666,   1.0204e-11
   5.19666,    5.19708,   1.0205e-11
   5.19708,    5.19749,   1.0205e-11
   5.19749,    5.19791,   1.0206e-11
   5.19791,    5.19833,   1.0206e-11
   5.19833,    5.19875,   1.0206e-11
   5.19875,    5.19917,   1.0207e-11
   5.19917,    5.19959,   1.0207e-11
   5.19959,    5.20001,   1.0208e-11
   5.20001,    5.20042,   1.0208e-11
   5.20042,    5.20084,   1.0208e-11
   5.20084,    5.20126,   1.0209e-11
   5.20126,    5.20168,   1.0209e-11
   5.20168,    5.20210,   1.0210e-11
   5.20210,    5.20252,   1.0210e-11
   5.20252,    5.20294,   1.0211e-11
   5.20294,    5.20336,   1.0211e-11
   5.20336,    5.20378,   1.0211e-11
   5.20378,    5.20420,   1.0212e-11
   5.20420,    5.20461,   1.0212e-11
   5.20461,    5.20503,   1.0213e-11
   5.20503,    5.20545,   1.0213e-11
   5.20545,    5.20587,   1.0214e-11
   5.20587,    5.20629,   1.0214e-11
   5.20629,    5.20671,   1.0214e-11
   5.20671,    5.20713,   1.0215e-11
   5.20713,    5.20755,   1.0215e-11
   5.20755,    5.20797,   1.0216e-11
   5.20797,    5.20839,   1.0216e-11
   5.20839,    5.20881,   1.0217e-11
   5.20881,    5.20923,   1.0218e-11
   5.20923,    5.20965,   1.0218e-11
   5.20965,    5.21007,   1.0219e-11
   5.21007,    5.21049,   1.0219e-11
   5.21049,    5.21091,   1.0220e-11
   5.21091,    5.21133,   1.0220e-11
   5.21133,    5.21175,   1.0221e-11
   5.21175,    5.21217,   1.0221e-11
   5.21217,    5.21258,   1.0221e-11
   5.21258,    5.21300,   1.0221e-11
   5.21300,    5.21342,   1.0221e-11
   5.21342,    5.21384,   1.0222e-11
   5.21384,    5.21426,   1.0222e-11
   5.21426,    5.21468,   1.0222e-11
   5.21468,    5.21510,   1.0223e-11
   5.21510,    5.21552,   1.0223e-11
   5.21552,    5.21594,   1.0224e-11
   5.21594,    5.21636,   1.0224e-11
   5.21636,    5.21678,   1.0225e-11
   5.21678,    5.21720,   1.0227e-11
   5.21720,    5.21763,   1.0228e-11
   5.21763,    5.21805,   1.0229e-11
   5.21805,    5.21847,   1.0229e-11
   5.21847,    5.21889,   1.0229e-11
   5.21889,    5.21931,   1.0229e-11
   5.21931,    5.21973,   1.0229e-11
   5.21973,    5.22015,   1.0228e-11
   5.22015,    5.22057,   1.0228e-11
   5.22057,    5.22099,   1.0229e-11
   5.22099,    5.22141,   1.0229e-11
   5.22141,    5.22183,   1.0230e-11
   5.22183,    5.22225,   1.0230e-11
   5.22225,    5.22267,   1.0230e-11
   5.22267,    5.22309,   1.0231e-11
   5.22309,    5.22351,   1.0231e-11
   5.22351,    5.22393,   1.0232e-11
   5.22393,    5.22435,   1.0232e-11
   5.22435,    5.22477,   1.0232e-11
   5.22477,    5.22519,   1.0233e-11
   5.22519,    5.22562,   1.0233e-11
   5.22562,    5.22604,   1.0234e-11
   5.22604,    5.22646,   1.0234e-11
   5.22646,    5.22688,   1.0235e-11
   5.22688,    5.22730,   1.0235e-11
   5.22730,    5.22772,   1.0235e-11
   5.22772,    5.22814,   1.0236e-11
   5.22814,    5.22856,   1.0236e-11
   5.22856,    5.22898,   1.0237e-11
   5.22898,    5.22940,   1.0237e-11
   5.22940,    5.22983,   1.0237e-11
   5.22983,    5.23025,   1.0238e-11
   5.23025,    5.23067,   1.0238e-11
   5.23067,    5.23109,   1.0239e-11
   5.23109,    5.23151,   1.0239e-11
   5.23151,    5.23193,   1.0240e-11
   5.23193,    5.23235,   1.0240e-11
   5.23235,    5.23277,   1.0240e-11
   5.23277,    5.23320,   1.0241e-11
   5.23320,    5.23362,   1.0241e-11
   5.23362,    5.23404,   1.0242e-11
   5.23404,    5.23446,   1.0242e-11
   5.23446,    5.23488,   1.0243e-11
   5.23488,    5.23530,   1.0243e-11
   5.23530,    5.23573,   1.0243e-11
   5.23573,    5.23615,   1.0244e-11
   5.23615,    5.23657,   1.0244e-11
   5.23657,    5.23699,   1.0245e-11
   5.23699,    5.23741,   1.0245e-11
   5.23741,    5.23783,   1.0245e-11
   5.23783,    5.23826,   1.0246e-11
   5.23826,    5.23868,   1.0246e-11
   5.23868,    5.23910,   1.0247e-11
   5.23910,    5.23952,   1.0247e-11
   5.23952,    5.23994,   1.0248e-11
   5.23994,    5.24037,   1.0248e-11
   5.24037,    5.24079,   1.0248e-11
   5.24079,    5.24121,   1.0249e-11
   5.24121,    5.24163,   1.0249e-11
   5.24163,    5.24205,   1.0250e-11
   5.24205,    5.24248,   1.0250e-11
   5.24248,    5.24290,   1.0251e-11
   5.24290,    5.24332,   1.0251e-11
   5.24332,    5.24374,   1.0251e-11
   5.24374,    5.24417,   1.0252e-11
   5.24417,    5.24459,   1.0252e-11
   5.24459,    5.24501,   1.0253e-11
   5.24501,    5.24543,   1.0253e-11
   5.24543,    5.24586,   1.0253e-11
   5.24586,    5.24628,   1.0254e-11
   5.24628,    5.24670,   1.0254e-11
   5.24670,    5.24712,   1.0255e-11
   5.24712,    5.24755,   1.0255e-11
   5.24755,    5.24797,   1.0256e-11
   5.24797,    5.24839,   1.0256e-11
   5.24839,    5.24881,   1.0256e-11
   5.24881,    5.24924,   1.0257e-11
   5.24924,    5.24966,   1.0257e-11
   5.24966,    5.25008,   1.0258e-11
   5.25008,    5.25050,   1.0258e-11
   5.25050,    5.25093,   1.0259e-11
   5.25093,    5.25135,   1.0259e-11
   5.25135,    5.25177,   1.0259e-11
   5.25177,    5.25220,   1.0260e-11
   5.25220,    5.25262,   1.0260e-11
   5.25262,    5.25304,   1.0261e-11
   5.25304,    5.25347,   1.0261e-11
   5.25347,    5.25389,   1.0261e-11
   5.25389,    5.25431,   1.0262e-11
   5.25431,    5.25474,   1.0262e-11
   5.25474,    5.25516,   1.0263e-11
   5.25516,    5.25558,   1.0263e-11
   5.25558,    5.25601,   1.0264e-11
   5.25601,    5.25643,   1.0264e-11
   5.25643,    5.25685,   1.0264e-11
   5.25685,    5.25728,   1.0265e-11
   5.25728,    5.25770,   1.0265e-11
   5.25770,    5.25812,   1.0266e-11
   5.25812,    5.25855,   1.0266e-11
   5.25855,    5.25897,   1.0267e-11
   5.25897,    5.25939,   1.0267e-11
   5.25939,    5.25982,   1.0267e-11
   5.25982,    5.26024,   1.0268e-11
   5.26024,    5.26066,   1.0268e-11
   5.26066,    5.26109,   1.0269e-11
   5.26109,    5.26151,   1.0269e-11
   5.26151,    5.26193,   1.0270e-11
   5.26193,    5.26236,   1.0270e-11
   5.26236,    5.26278,   1.0270e-11
   5.26278,    5.26321,   1.0271e-11
   5.26321,    5.26363,   1.0271e-11
   5.26363,    5.26405,   1.0272e-11
   5.26405,    5.26448,   1.0272e-11
   5.26448,    5.26490,   1.0272e-11
   5.26490,    5.26533,   1.0273e-11
   5.26533,    5.26575,   1.0273e-11
   5.26575,    5.26617,   1.0274e-11
   5.26617,    5.26660,   1.0274e-11
   5.26660,    5.26702,   1.0275e-11
   5.26702,    5.26745,   1.0275e-11
   5.26745,    5.26787,   1.0275e-11
   5.26787,    5.26830,   1.0276e-11
   5.26830,    5.26872,   1.0276e-11
   5.26872,    5.26914,   1.0277e-11
   5.26914,    5.26957,   1.0277e-11
   5.26957,    5.26999,   1.0278e-11
   5.26999,    5.27042,   1.0278e-11
   5.27042,    5.27084,   1.0278e-11
   5.27084,    5.27127,   1.0279e-11
   5.27127,    5.27169,   1.0279e-11
   5.27169,    5.27212,   1.0280e-11
   5.27212,    5.27254,   1.0280e-11
   5.27254,    5.27296,   1.0280e-11
   5.27296,    5.27339,   1.0281e-11
   5.27339,    5.27381,   1.0281e-11
   5.27381,    5.27424,   1.0282e-11
   5.27424,    5.27466,   1.0282e-11
