wlo,whi,flux
#A,A,phot/cm^2/s/bin
   5.00000,    5.00040,   1.0002e-11
   5.00040,    5.00081,   1.0002e-11
   5.00081,    5.00121,   1.0003e-11
   5.00121,    5.00161,   1.0003e-11
   5.00161,    5.00201,   1.0004e-11
   5.00201,    5.00242,   1.0004e-11
   5.00242,    5.00282,   1.0004e-11
   5.00282,    5.00322,   1.0005e-11
   5.00322,    5.00363,   1.0005e-11
   5.00363,    5.00403,   1.0006e-11
   5.00403,    5.00443,   1.0006e-11
   5.00443,    5.00483,   1.0006e-11
   5.00483,    5.00524,   1.0007e-11
   5.00524,    5.00564,   1.0007e-11
   5.00564,    5.00604,   1.0008e-11
   5.00604,    5.00645,   1.0008e-11
   5.00645,    5.00685,   1.0009e-11
   5.00685,    5.00725,   1.0009e-11
   5.00725,    5.00766,   1.0009e-11
   5.00766,    5.00806,   1.0010e-11
   5.00806,    5.00846,   1.0010e-11
   5.00846,    5.00887,   1.0011e-11
   5.00887,    5.00927,   1.0011e-11
   5.00927,    5.00967,   1.0011e-11
   5.00967,    5.01008,   1.0012e-11
   5.01008,    5.01048,   1.0012e-11
   5.01048,    5.01088,   1.0013e-11
   5.01088,    5.01129,   1.0013e-11
   5.01129,    5.01169,   1.0013e-11
   5.01169,    5.01210,   1.0014e-11
   5.01210,    5.01250,   1.0014e-11
   5.01250,    5.01290,   1.0015e-11
   5.01290,    5.01331,   1.0015e-11
   5.01331,    5.01371,   1.0016e-11
   5.01371,    5.01411,   1.0016e-11
   5.01411,    5.01452,   1.0016e-11
   5.01452,    5.01492,   1.0017e-11
   5.01492,    5.01533,   1.0017e-11
   5.01533,    5.01573,   1.0018e-11
   5.01573,    5.01613,   1.0018e-11
   5.01613,    5.01654,   1.0018e-11
   5.01654,    5.01694,   1.0019e-11
   5.01694,    5.01735,   1.0019e-11
   5.01735,    5.01775,   1.0021e-11
   5.01775,    5.01815,   1.0024e-11
   5.01815,    5.01856,   1.0024e-11
   5.01856,    5.01896,   1.0025e-11
   5.01896,    5.01937,   1.0025e-11
   5.01937,    5.01977,   1.0025e-11
   5.01977,    5.02018,   1.0026e-11
   5.02018,    5.02058,   1.0026e-11
   5.02058,    5.02098,   1.0027e-11
   5.02098,    5.02139,   1.0027e-11
   5.02139,    5.02179,   1.0028e-11
   5.02179,    5.02220,   1.0028e-11
   5.02220,    5.02260,   1.0028e-11
   5.02260,    5.02301,   1.0029e-11
   5.02301,    5.02341,   1.0029e-11
   5.02341,    5.02382,   1.0030e-11
   5.02382,    5.02422,   1.0030e-11
   5.02422,    5.02462,   1.0030e-11
   5.02462,    5.02503,   1.0031e-11
   5.02503,    5.02543,   1.0031e-11
   5.02543,    5.02584,   1.0032e-11
   5.02584,    5.02624,   1.0032e-11
   5.02624,    5.02665,   1.0032e-11
   5.02665,    5.02705,   1.0033e-11
   5.02705,    5.02746,   1.0033e-11
   5.02746,    5.02786,   1.0034e-11
   5.02786,    5.02827,   1.0034e-11
   5.02827,    5.02867,   1.0035e-11
   5.02867,    5.02908,   1.0035e-11
   5.02908,    5.02948,   1.0035e-11
   5.02948,    5.02989,   1.0036e-11
   5.02989,    5.03029,   1.0036e-11
   5.03029,    5.03070,   1.0037e-11
   5.03070,    5.03110,   1.0037e-11
